ID,stations,全日进站量,全日出站量,全日进出站量,800m开发强度,300m开发强度,800m人口密度,800m岗位密度,800m人岗密度,300m人口密度,300m岗位密度,300m人岗密度
1,陶然亭,18213,18103,36316,1.257,1.441,2.8325,1.3354,4.1679,2.9789,2.0409,5.0198
2,天桥,11320,12883,24203,0.658,0.688,1.4207,0.9439,2.3645,1.4573,0.9853,2.4426
3,天坛东门,15492,16043,31535,0.616,0.548,0.963,0.7516,1.7146,0.6985,0.6385,1.3371
4,菜市口,17255,17593,34848,1.515,0.955,2.6622,1.8613,4.5235,1.1941,1.1673,2.3614
5,虎坊桥,9355,9729,19084,1.218,0.661,2.0488,1.2148,3.2636,0.8544,1.0039,1.8583
6,广安门内,21442,23249,44691,1.656,1.619,2.533,2.1586,4.6917,2.7364,2.7752,5.5116
7,珠市口,13513,13173,26686,0.874,0.68,1.3459,0.8796,2.2255,0.9189,0.5597,1.4786
8,桥湾,7366,7840,15206,0.91,1.075,1.3991,1.0504,2.4495,2.3051,1.9327,4.2378
9,磁器口,16444,16165,32609,1.693,1.279,2.7186,1.8392,4.5578,2.6917,2.399,5.0907
10,广渠门内,15626,15941,31567,1.921,2.292,3.1467,1.4852,4.632,3.4399,1.5339,4.9737
11,长椿街,17435,17053,34488,1.46,1.672,2.3859,2.7953,5.1811,3.3594,3.3478,6.7072
12,宣武门,19695,20270,39965,1.786,1.634,2.2905,2.5792,4.8697,1.6713,2.8015,4.4728
13,和平门,9654,8402,18056,1.175,0.922,2.1123,1.4714,3.5836,1.7985,1.4927,3.2912
14,前门,20253,19801,40054,1.061,0.501,0.7236,0.7973,1.5209,0.3807,0.5446,0.9253
15,崇文门,36569,37126,73695,1.922,1.583,2.5334,2.565,5.0985,2.8574,4.0326,6.8901
16,北京站,31544,28469,60013,1.583,1.651,1.5513,3.1832,4.7345,1.5369,2.819,4.3559
17,西单,40021,41993,82014,1.796,2.446,1.8003,3.9911,5.7913,1.1889,4.9363,6.1253
18,复兴门,23555,26212,49767,1.774,1.401,1.8794,4.3892,6.2686,1.2876,4.6292,5.9168
19,天安门西,6541,7047,13588,0.521,0.28,0.577,0.5717,1.1488,0.299,0.2794,0.5784
20,天安门东,20477,25957,46434,0.75,0.094,0.5423,0.9761,1.5184,0.5405,1.122,1.6626
21,王府井,29306,30346,59652,1.828,2.932,1.2914,3.5309,4.8223,0.789,3.6621,4.451
22,东单,27530,31153,58683,1.9,1.992,1.5698,4.4874,6.0572,1.1698,6.9736,8.1434
23,建国门,23008,25128,48136,1.699,0.788,1.3422,2.9569,4.299,0.677,1.6969,2.3739
24,灵境胡同,14030,14714,28744,1.515,1.629,1.8495,3.2214,5.0709,2.1378,2.6518,4.7896
25,灯市口,19352,21620,40972,1.742,2.248,1.8878,3.7466,5.6344,1.6608,3.7785,5.4393
26,阜成门,32403,34562,66965,1.852,1.662,2.2225,3.6003,5.8228,2.224,3.8511,6.0751
27,西四,11027,10816,21843,0.951,0.922,1.5408,1.1926,2.7334,1.6221,1.1433,2.7653
28,东四,20023,20546,40569,1.283,1.231,1.6597,1.9874,3.6471,1.7441,2.4601,4.2043
29,中国美术馆,11182,9003,20185,1.163,1.308,1.5227,1.8129,3.3356,0.9749,1.4906,2.4655
30,平安里,20860,20713,41573,1.02,0.642,2.1018,1.3001,3.4018,1.5354,1.0506,2.586
31,南锣鼓巷,21145,22661,43806,0.791,0.601,1.3467,0.8959,2.2426,0.8537,0.692,1.5457
32,北海北,16237,17449,33686,0.498,0.462,0.9943,0.6417,1.636,1.2435,0.7688,2.0124
33,张自忠路,8950,8784,17734,0.911,0.866,1.6762,1.3585,3.0347,1.0499,1.0341,2.084
34,东四十条,23586,24875,48461,2.391,3.304,2.2639,3.8714,6.1353,1.8316,5.6527,7.4843
35,什刹海,18558,13082,31640,0.583,0.593,1.0788,0.5515,1.6304,1.1293,0.5211,1.6504
36,新街口,10386,10627,21013,1.255,1.369,2.6134,1.5789,4.1923,2.4649,1.6972,4.1621
37,北新桥,18257,16564,34821,0.949,1.272,1.7166,1.3273,3.0439,1.97,1.541,3.5111
38,东直门,39946,43125,83071,2.087,3.815,2.3351,3.2521,5.5872,1.8111,4.3966,6.2077
39,鼓楼大街,16184,15800,31984,1.014,0.534,1.4642,0.8772,2.3414,0.8868,0.3812,1.268
40,安定门,12947,12063,25010,1.014,0.785,1.6486,1.1536,2.8022,1.5066,1.0126,2.5192
41,雍和宫,23862,26408,50270,0.892,0.62,1.3517,1.9447,3.2964,1.3018,1.5394,2.8412
42,牛街,18563,19450,38013,1.49,1.54,2.816,2.1525,4.9685,2.9156,2.324,5.2396
43,金鱼胡同,23948,23816,47764,1.849,2.664,1.581,3.0927,4.6737,2.1784,5.2759,7.4543
44,太平桥,21252,24850,46102,1.995,1.723,1.684,5.9397,7.6236,1.3472,6.1602,7.5074
45,东管头南,2903,2595,5498,0.545,0.039,1.1255,0.3158,1.4413,0.8891,0.2152,1.1043
46,木樨园,10654,10481,21135,1.738,1.668,2.6679,1.0462,3.7141,2.1989,2.0229,4.2218
47,刘家窑,16324,14515,30839,1.521,1.452,2.9584,0.7849,3.7434,1.7197,0.47,2.1897
48,北京南站,79883,78934,158817,0.966,1.398,1.6792,0.5005,2.1797,1.8571,0.7386,2.5956
49,景泰,10970,9852,20822,1.37,1.114,2.7213,0.8235,3.5448,2.0474,0.7176,2.7651
50,蒲黄榆,23444,22123,45567,1.404,2.183,2.4836,0.6481,3.1317,2.6138,0.7371,3.3509
51,方庄,15800,15521,31321,1.514,1.576,2.605,0.7585,3.3635,3.0745,0.9529,4.0274
52,永定门外,14981,14349,29330,1.36,0.727,2.1132,1.0758,3.189,1.0578,0.5482,1.606
53,潘家园,21664,19712,41376,1.927,1.845,2.7096,0.939,3.6486,2.2333,0.9656,3.1989
54,六里桥东,19411,18548,37959,1.105,1.355,1.8841,0.644,2.5281,2.2537,0.6772,2.931
55,达官营,22355,21789,44144,2.022,2.159,4.3155,1.6552,5.9708,4.8885,1.7519,6.6403
56,湾子,12111,11694,23805,1.859,1.481,4.0776,1.6585,5.7361,4.3381,2.3976,6.7357
57,广渠门外,12748,12092,24840,1.962,2.272,2.713,0.9947,3.7077,3.3332,1.3526,4.6858
