ID,stations,全日进站量,全日出站量,全日进出站量,800m开发强度,300m开发强度,800m人口密度,800m岗位密度,800m人岗密度,300m人口密度,300m岗位密度,300m人岗密度
212,关庄,8300,9300,17600,,,,,,,,
213,北沙滩,8000,8000,16000,,,,,,,,
214,奥林匹克公园,17900,18600,36600,,,,,,,,
215,北宫门,6700,8600,15300,,,,,,,,
216,安立路,10600,10200,20800,,,,,,,,
217,望京东,30800,35000,65800,,,,,,,,
218,大屯路东,18200,18900,37100,,,,,,,,
219,森林公园南门,6000,6500,12500,,,,,,,,
220,东湖渠,14700,15200,29900,,,,,,,,
221,林萃桥,7100,6700,13800,,,,,,,,
222,新发地,8600,7500,16100,,,,,,,,
223,十八里店,3100,3000,6100,,,,,,,,
224,学院桥,10500,10900,21400,,,,,,,,
225,富丰桥,10000,9800,19800,,,,,,,,
226,看丹,1300,1100,2400,,,,,,,,
227,榆树庄,2100,2000,4100,,,,,,,,
228,学知园,11800,11900,23700,,,,,,,,
229,义和庄,8500,8400,16900,,,,,,,,
230,黄村火车站,8500,7700,16100,,,,,,,,
231,良乡大学城西,11300,10900,22200,,,,,,,,
232,良乡大学城,9400,9300,18600,,,,,,,,
233,良乡南关,8700,8400,17100,,,,,,,,
234,苏庄,8500,8300,16800,,,,,,,,
235,阎村东,4000,3900,8000,,,,,,,,
236,良乡大学城北,8600,9000,17600,,,,,,,,
237,黄村西大街,15100,15300,30300,,,,,,,,
238,大兴新城,2900,2600,5500,,,,,,,,
239,清源路,12400,12100,24500,,,,,,,,
240,广阳城,7200,7000,14300,,,,,,,,
241,枣园,16700,16400,33100,,,,,,,,
242,篱笆房,13300,11900,25200,,,,,,,,
243,瀛海,18400,17200,35600,,,,,,,,
244,高米店南,11300,11000,22300,,,,,,,,
245,长阳,26100,25100,51200,,,,,,,,
246,同济南路,18500,17600,36100,,,,,,,,
247,高米店北,11200,10600,21800,,,,,,,,
248,德茂,5000,5300,10300,,,,,,,,
249,荣昌东街,14100,15500,29600,,,,,,,,
250,经海路,16800,19300,36100,,,,,,,,
251,荣京东街,13600,14300,27900,,,,,,,,
252,稻田,14000,13000,27000,,,,,,,,
253,次渠南,8200,7600,15800,,,,,,,,
254,亦庄桥,7100,6000,13100,,,,,,,,
255,万源街,6700,7200,13900,,,,,,,,
256,次渠,4000,3700,7800,,,,,,,,
257,亦庄文化园,4700,4700,9500,,,,,,,,
258,亦庄火车站,900,800,1700,,,,,,,,
259,黄厂,8900,8600,17400,,,,,,,,
260,花庄,8300,7500,15700,,,,,,,,
261,郎辛庄,6800,6700,13500,,,,,,,,
262,张郭庄,14300,12500,26700,,,,,,,,
263,黑庄户,3100,3000,6100,,,,,,,,
264,园博园,3200,3500,6700,,,,,,,,
265,万盛西,4000,3900,7900,,,,,,,,
266,高楼金,5700,5600,11400,,,,,,,,
267,万盛东,6500,6700,13200,,,,,,,,
268,群芳,1300,1300,2500,,,,,,,,
269,土桥,15500,12600,28100,,,,,,,,
270,临河里,6600,8100,14700,,,,,,,,
271,梨园,17300,17000,34300,,,,,,,,
272,九棵树,11400,11700,23100,,,,,,,,
273,果园,14300,13000,27300,,,,,,,,
274,北运河西,17800,17000,34800,,,,,,,,
275,北运河东,2800,2600,5400,,,,,,,,
276,通州北苑,20700,23400,44200,,,,,,,,
277,八里桥,6300,5600,11900,,,,,,,,
278,古城,29100,26500,55600,,,,,,,,
279,管庄,14400,14100,28500,,,,,,,,
280,传媒大学,22800,22000,44800,,,,,,,,
281,双桥,19400,18900,38300,,,,,,,,
282,四道桥,1700,1800,3500,,,,,,,,
283,通州北关,26200,26000,52200,,,,,,,,
284,金安桥,24300,19700,44000,,,,,,,,
285,褡裢坡,19400,19100,38600,,,,,,,,
286,黄渠,17100,16300,33300,,,,,,,,
287,草房,25700,24100,49800,,,,,,,,
288,常营,30800,32400,63200,,,,,,,,
289,苹果园,5600,5900,11500,,,,,,,,
290,物资学院路,26900,25300,52200,,,,,,,,
291,杨庄,18600,19600,38100,,,,,,,,
292,西黄村,12400,12200,24600,,,,,,,,
293,植物园,1700,1500,3200,,,,,,,,
294,香山,3500,3500,7000,,,,,,,,
295,安河桥北,7300,7000,14300,,,,,,,,
296,来广营,18700,19800,38500,,,,,,,,
297,农大南路,9500,9100,18600,,,,,,,,
298,崔各庄,3800,3900,7700,,,,,,,,
299,善各庄,8100,7000,15100,,,,,,,,
300,北苑路北,22600,23700,46300,,,,,,,,
301,马连洼,9600,10400,19900,,,,,,,,
302,上地,12300,12600,24800,,,,,,,,
303,马泉营,10900,10900,21900,,,,,,,,
304,永泰庄,13900,13700,27600,,,,,,,,
305,清河站,45200,47400,92600,,,,,,,,
306,立水桥南,20400,20400,40700,,,,,,,,
307,北苑,16000,15200,31200,,,,,,,,
308,孙河,4300,4300,8700,,,,,,,,
309,西小口,12300,12200,24500,,,,,,,,
310,西北旺,11100,11000,22100,,,,,,,,
311,西二旗,56700,61600,118400,,,,,,,,
312,立水桥,30000,28000,58000,,,,,,,,
313,3号航站楼,5300,6200,11500,,,,,,,,
314,育新,19500,19600,39200,,,,,,,,
315,永丰南,9300,9100,18400,,,,,,,,
316,天通苑南,14600,14700,29300,,,,,,,,
317,屯佃,4400,4100,8400,,,,,,,,
318,温阳路,8500,8800,17300,,,,,,,,
319,稻香湖路,8400,9300,17800,,,,,,,,
320,国展,11600,12000,23600,,,,,,,,
321,霍营,28400,26300,54800,,,,,,,,
322,回龙观,26000,23300,49300,,,,,,,,
323,龙泽,24700,23800,48600,,,,,,,,
324,永丰,15400,15400,30900,,,,,,,,
325,天通苑,39600,37400,77000,,,,,,,,
326,2号航站楼,3800,4200,8000,,,,,,,,
327,天通苑北,47800,43400,91100,,,,,,,,
328,花梨坎,13200,13000,26200,,,,,,,,
329,育知路,6300,5800,12100,,,,,,,,
330,平西府,13400,12500,25900,,,,,,,,
331,生命科学园,18800,19800,38600,,,,,,,,
332,朱辛庄,24800,24200,49000,,,,,,,,
333,后沙峪,18700,18100,36800,,,,,,,,
334,南法信,15400,15100,30500,,,,,,,,
335,巩华城,2200,2100,4300,,,,,,,,
336,沙河,47900,47400,95300,,,,,,,,
337,沙河高教园,17000,15600,32600,,,,,,,,
338,北辛安,500,600,1100,,,,,,,,
339,新首钢,300,300,600,,,,,,,,
340,北神树,11900,11800,23700,,,,,,,,
341,次渠北,8300,7900,16200,,,,,,,,
342,嘉会湖,3100,2900,6100,,,,,,,,
343,环球度假区,8000,7400,15400,,,,,,,,
344,清河小营桥,13800,13500,27300,,,,,,,,
345,定海园,300,300,500,,,,,,,,
346,定海园西,200,200,300,,,,,,,,
347,经海一路,0,0,100,,,,,,,,
348,亦创会展中心,100,100,200,,,,,,,,
349,亦庄同仁,200,200,400,,,,,,,,
350,鹿圈东,200,200,400,,,,,,,,
351,九号村,100,100,200,,,,,,,,
352,四海庄,100,100,300,,,,,,,,
353,太和桥北,0,0,100,,,,,,,,
354,回龙观东大街,26500,24400,50900,,,,,,,,
355,泰河路,0,100,100,,,,,,,,
356,天宫院,23900,20500,44400,,,,,,,,
357,生物医药基地,13000,15600,28600,,,,,,,,
358,饶乐府,1700,1500,3200,,,,,,,,
359,马各庄,1700,1700,3300,,,,,,,,
360,房山城关,2400,2400,4800,,,,,,,,
361,大石河东,600,500,1100,,,,,,,,
362,星城,3400,3100,6500,,,,,,,,
363,阎村,2000,1700,3800,,,,,,,,
364,燕山,2700,2700,5400,,,,,,,,
365,紫草坞,500,400,900,,,,,,,,
366,石厂,4600,4400,9000,,,,,,,,
367,小园,6500,6100,12600,,,,,,,,
368,栗园庄,3200,3100,6300,,,,,,,,
369,潞城,15500,14000,29400,,,,,,,,
370,东夏园,12200,12400,24600,,,,,,,,
371,郝家府,4300,3800,8100,,,,,,,,
372,上岸,5900,6000,11900,,,,,,,,
373,桥户营,5900,5700,11500,,,,,,,,
374,北安河,10500,9600,20100,,,,,,,,
375,顺义,20400,20800,41200,,,,,,,,
376,石门,16000,16300,32300,,,,,,,,
377,俸伯,21100,18400,39500,,,,,,,,
378,南邵,14700,14300,29100,,,,,,,,
379,昌平,18300,18000,36300,,,,,,,,
380,北邵洼,4400,4100,8500,,,,,,,,
381,昌平东关,7400,7900,15400,,,,,,,,
382,十三陵景区,1700,1700,3400,,,,,,,,
383,昌平西山口,3800,3300,7100,,,,,,,,
384,大兴机场,15700,17800,33500,,,,,,,,
385,瑞合庄,200,200,400,,,,,,,,
386,融兴街,100,100,200,,,,,,,,
387,屈庄,100,100,300,,,,,,,,
388,模式口,2700,2400,5100,,,,,,,,
389,洪泰庄,400,400,900,,,,,,,,
390,宛平城,4100,4600,8800,,,,,,,,
391,未来科学城北,3700,3600,7300,,,,,,,,
392,未来科学城,4400,4300,8700,,,,,,,,
393,天通苑东,9000,8300,17300,,,,,,,,
394,清河营,2900,2700,5600,,,,,,,,
395,红军营,4900,4900,9800,,,,,,,,
396,西坝河,1900,1900,3800,,,,,,,,
397,左家庄,2100,2100,4300,,,,,,,,
398,工人体育场,3900,3700,7600,,,,,,,,
