ID,stations,全日进站量,全日出站量,全日进出站量,800m开发强度,300m开发强度,800m人口密度,800m岗位密度,800m人岗密度,300m人口密度,300m岗位密度,300m人岗密度
1,陶然亭,17900,17900,35800,,,,,,,,
2,天桥,11500,12400,23900,,,,,,,,
3,天坛东门,13700,14300,28000,,,,,,,,
4,菜市口,13900,14400,28300,,,,,,,,
5,虎坊桥,9600,9900,19600,,,,,,,,
6,广安门内,21700,23800,45600,,,,,,,,
7,珠市口,12800,12900,25700,,,,,,,,
8,桥湾,7100,7200,14400,,,,,,,,
9,磁器口,16200,16200,32400,,,,,,,,
10,广渠门内,16700,17000,33700,,,,,,,,
11,长椿街,19400,18900,38300,,,,,,,,
12,宣武门,21800,22700,44500,,,,,,,,
13,和平门,9600,8700,18300,,,,,,,,
14,前门,21000,21000,42000,,,,,,,,
15,崇文门,37500,38500,76000,,,,,,,,
16,北京站,32500,30100,62600,,,,,,,,
17,西单,42800,44700,87500,,,,,,,,
18,复兴门,25500,28700,54200,,,,,,,,
19,天安门西,8300,9500,17800,,,,,,,,
20,天安门东,21600,28000,49600,,,,,,,,
21,王府井,28900,28800,57700,,,,,,,,
22,东单,28400,31900,60300,,,,,,,,
23,建国门,24700,26400,51200,,,,,,,,
24,灵境胡同,15500,16000,31500,,,,,,,,
25,灯市口,20100,22100,42200,,,,,,,,
26,阜成门,34400,37000,71500,,,,,,,,
27,西四,11600,11700,23300,,,,,,,,
28,东四,16400,16400,32800,,,,,,,,
29,中国美术馆,11400,8400,19800,,,,,,,,
30,平安里,20600,20700,41300,,,,,,,,
31,南锣鼓巷,20300,21500,41800,,,,,,,,
32,北海北,16100,16100,32200,,,,,,,,
33,张自忠路,9300,9300,18700,,,,,,,,
34,东四十条,21700,23200,44900,,,,,,,,
35,什刹海,15200,11100,26300,,,,,,,,
36,新街口,10800,11200,22000,,,,,,,,
37,北新桥,18700,17900,36600,,,,,,,,
38,东直门,47300,51200,98500,,,,,,,,
39,鼓楼大街,17200,16700,33800,,,,,,,,
40,安定门,13500,12900,26300,,,,,,,,
41,雍和宫,24400,26300,50700,,,,,,,,
42,牛街,14500,15200,29700,,,,,,,,
43,金鱼胡同,19100,18100,37100,,,,,,,,
44,太平桥,16300,18900,35200,,,,,,,,
45,东管头南,3400,3200,6600,,,,,,,,
46,木樨园,11200,10100,21300,,,,,,,,
47,刘家窑,18600,16400,34900,,,,,,,,
48,北京南站,80200,76900,157100,,,,,,,,
49,景泰,10300,9300,19600,,,,,,,,
50,蒲黄榆,23600,22100,45700,,,,,,,,
51,方庄,16500,16300,32800,,,,,,,,
52,永定门外,15500,15900,31400,,,,,,,,
53,潘家园,31000,30000,61000,,,,,,,,
54,六里桥东,20900,19800,40700,,,,,,,,
55,达官营,22500,22100,44600,,,,,,,,
56,湾子,12900,12400,25400,,,,,,,,
57,广渠门外,13000,12500,25400,,,,,,,,
58,北京西站,63800,61400,125200,,,,,,,,
59,莲花桥,6600,6800,13300,,,,,,,,
60,南礼士路,19800,21400,41300,,,,,,,,
61,木樨地,23500,23900,47400,,,,,,,,
62,军事博物馆,18700,20000,38600,,,,,,,,
63,永安里,26500,27800,54400,,,,,,,,
64,甘家口,5800,6000,11900,,,,,,,,
65,东大桥,30100,32200,62300,,,,,,,,
66,白堆子,12900,13500,26400,,,,,,,,
67,朝阳门,57000,59900,116800,,,,,,,,
68,车公庄西,14500,15500,30000,,,,,,,,
69,车公庄,24600,26600,51200,,,,,,,,
70,白石桥南,20600,21600,42200,,,,,,,,
71,花园桥,17600,17600,35200,,,,,,,,
72,动物园,14100,14400,28500,,,,,,,,
73,西直门,59300,59000,118200,,,,,,,,
74,国家图书馆,18600,18600,37200,,,,,,,,
75,万寿寺,7400,7400,14900,,,,,,,,
76,积水潭,36200,33600,69800,,,,,,,,
77,安德里北街,8300,8400,16800,,,,,,,,
78,魏公村,22000,23300,45200,,,,,,,,
79,柳芳,11000,10800,21800,,,,,,,,
80,和平里北街,17900,18300,36300,,,,,,,,
81,大钟寺,15400,16600,32000,,,,,,,,
82,和平西桥,18000,18600,36600,,,,,,,,
83,光熙门,8800,6000,14800,,,,,,,,
84,东管头,7900,7900,15800,,,,,,,,
85,菜户营,4900,4600,9500,,,,,,,,
86,丽泽商务区,16500,18100,34500,,,,,,,,
87,西铁营,11700,12100,23900,,,,,,,,
88,景风门,13900,12700,26600,,,,,,,,
89,玉渊潭东门,5600,6100,11700,,,,,,,,
90,红莲南路,9300,8800,18100,,,,,,,,
91,二里沟,8900,9300,18200,,,,,,,,
92,科怡路,9300,9300,18500,,,,,,,,
93,肖村,3800,3700,7600,,,,,,,,
94,大红门南,4900,4500,9400,,,,,,,,
95,公益西桥,15700,15500,31200,,,,,,,,
96,丰台南路,11400,10900,22200,,,,,,,,
97,纪家庙,9000,8800,17800,,,,,,,,
98,首经贸,20800,19800,40600,,,,,,,,
99,角门东,21100,20600,41800,,,,,,,,
100,大红门,10500,9900,20400,,,,,,,,
101,成寿寺,17000,15400,32400,,,,,,,,
102,石榴庄,15100,14300,29400,,,,,,,,
103,草桥,49400,47700,97100,,,,,,,,
104,宋家庄,46900,43500,90500,,,,,,,,
105,角门西,20300,19200,39400,,,,,,,,
106,丰台站,38500,30100,68600,,,,,,,,
107,海户屯,8100,7800,15900,,,,,,,,
108,分钟寺,6000,5700,11800,,,,,,,,
109,马家堡,12000,11800,23700,,,,,,,,
110,丰台东大街,8000,7800,15800,,,,,,,,
111,泥洼,8500,8200,16600,,,,,,,,
112,西局,13600,13100,26600,,,,,,,,
113,十里河,48700,45800,94500,,,,,,,,
114,七里庄,17200,16800,33900,,,,,,,,
115,北工大西门,16300,15200,31500,,,,,,,,
116,六里桥,22500,22000,44400,,,,,,,,
117,劲松,25000,23300,48400,,,,,,,,
118,平乐园,14600,14200,28800,,,,,,,,
119,大郊亭,11000,11600,22500,,,,,,,,
120,双井,35300,36900,72200,,,,,,,,
121,九龙山,25100,25500,50600,,,,,,,,
122,万寿路,15800,16500,32300,,,,,,,,
123,公主坟,13500,14500,28000,,,,,,,,
124,五棵松,35500,35600,71100,,,,,,,,
125,大望路,58900,63800,122700,,,,,,,,
126,国贸,70900,73400,144400,,,,,,,,
127,金台夕照,35100,39700,74800,,,,,,,,
128,金台路,23400,23500,46900,,,,,,,,
129,呼家楼,31300,31700,63000,,,,,,,,
130,西钓鱼台,20800,21300,42100,,,,,,,,
131,海淀五路居,19800,20900,40800,,,,,,,,
132,慈寿寺,13700,13300,27000,,,,,,,,
133,朝阳公园,13000,13000,26000,,,,,,,,
134,团结湖,31400,33900,65400,,,,,,,,
135,农业展览馆,4600,5400,10000,,,,,,,,
136,枣营,8600,8900,17500,,,,,,,,
137,车道沟,15300,15300,30600,,,,,,,,
138,亮马桥,32700,33500,66200,,,,,,,,
139,东风北桥,10800,10400,21200,,,,,,,,
140,长春桥,15700,16400,32100,,,,,,,,
141,三元桥,37700,41100,78800,,,,,,,,
142,苏州桥,10600,10400,20900,,,,,,,,
143,火器营,7600,7100,14700,,,,,,,,
144,人民大学,20200,20400,40600,,,,,,,,
145,安华桥,16100,15900,32100,,,,,,,,
146,太阳宫,21900,22800,44700,,,,,,,,
147,巴沟,21200,22100,43300,,,,,,,,
148,苏州街,30400,31300,61700,,,,,,,,
149,海淀黄庄,35600,35600,71100,,,,,,,,
150,西土城,32900,33800,66700,,,,,,,,
151,牡丹园,29500,30200,59700,,,,,,,,
152,知春里,15700,16500,32200,,,,,,,,
153,知春路,24400,25200,49500,,,,,,,,
154,健德门,20100,18800,38900,,,,,,,,
155,北土城,10400,10600,21000,,,,,,,,
156,安贞门,28100,29400,57500,,,,,,,,
157,惠新西街南口,21500,21000,42500,,,,,,,,
158,芍药居,26400,24600,51000,,,,,,,,
159,中关村,24600,26600,51200,,,,,,,,
160,奥体中心,6300,6000,12300,,,,,,,,
161,惠新西街北口,22400,22500,44900,,,,,,,,
162,周家庄,3700,4100,7900,,,,,,,,
163,北太平庄,10300,11000,21300,,,,,,,,
164,五福堂,5600,5200,10800,,,,,,,,
165,西红门,25100,25900,51100,,,,,,,,
166,火箭万源,6200,6300,12500,,,,,,,,
167,东高地,4600,4500,9100,,,,,,,,
168,旧宫,16500,16000,32500,,,,,,,,
169,大葆台,8600,8400,17000,,,,,,,,
170,和义,9700,9400,19100,,,,,,,,
171,新宫,37700,36700,74400,,,,,,,,
172,郭公庄,11700,10800,22400,,,,,,,,
173,白盆窑,9600,9500,19100,,,,,,,,
174,丰台科技园,33300,35300,68600,,,,,,,,
175,花乡东桥,6800,7100,13900,,,,,,,,
176,小红门,12100,11500,23600,,,,,,,,
177,焦化厂,2900,2700,5600,,,,,,,,
178,大瓦窑,6000,5900,11900,,,,,,,,
179,双合,9100,8700,17800,,,,,,,,
180,垡头,11800,11200,23000,,,,,,,,
181,郭庄子,9300,9200,18500,,,,,,,,
182,大井,6900,7100,14100,,,,,,,,
183,欢乐谷景区,6600,6700,13300,,,,,,,,
184,南楼梓庄,6700,6300,13100,,,,,,,,
185,化工,4900,4500,9400,,,,,,,,
186,百子湾,21500,22900,44300,,,,,,,,
187,八角游乐园,18200,18100,36300,,,,,,,,
188,八宝山,22100,20700,42700,,,,,,,,
189,玉泉路,19000,18500,37600,,,,,,,,
190,四惠东,28500,28600,57000,,,,,,,,
191,四惠,20300,21100,41400,,,,,,,,
192,高碑店,12200,12700,25000,,,,,,,,
193,十里堡,24600,25500,50000,,,,,,,,
194,青年路,38900,41500,80400,,,,,,,,
195,田村,14900,14300,29100,,,,,,,,
196,廖公庄,5000,4500,9400,,,,,,,,
197,将台,39000,42100,81200,,,,,,,,
198,茶棚,1900,1700,3600,,,,,,,,
199,万安,300,300,600,,,,,,,,
200,望京南,22100,23000,45100,,,,,,,,
201,万泉河桥,6600,6900,13500,,,,,,,,
202,颐和园西门,700,1000,1700,,,,,,,,
203,北京大学东门,11000,10600,21600,,,,,,,,
204,阜通,16700,17800,34600,,,,,,,,
205,五道口,26400,27400,53800,,,,,,,,
206,望京西,14400,14300,28700,,,,,,,,
207,西苑,10900,9500,20400,,,,,,,,
208,望京,23100,22100,45200,,,,,,,,
209,圆明园,7300,7200,14600,,,,,,,,
210,清华东路西口,8800,8500,17300,,,,,,,,
211,六道口,15400,15300,30700,,,,,,,,
