ID,stations,全日进站量,全日出站量,全日进出站量,800m开发强度,300m开发强度,800m人口密度,800m岗位密度,800m人岗密度,300m人口密度,300m岗位密度,300m人岗密度
43,金鱼胡同,#N/A,#N/A,#N/A,,,,,,,,
44,太平桥,#N/A,#N/A,#N/A,,,,,,,,
45,东管头南,#N/A,#N/A,#N/A,,,,,,,,
46,木樨园,5750,5750,11500,,,,,,,,
47,刘家窑,24000,24000,48000,,,,,,,,
48,北京南站,110200,110200,220400,,,,,,,,
49,景泰,9200,9200,18400,,,,,,,,
50,蒲黄榆,26900,26900,53800,,,,,,,,
51,方庄,15950,15950,31900,,,,,,,,
52,永定门外,10800,10800,21600,,,,,,,,
53,潘家园,15550,15550,31100,,,,,,,,
54,六里桥东,29300,29300,58600,,,,,,,,
55,达官营,22700,22700,45400,,,,,,,,
56,湾子,17800,17800,35600,,,,,,,,
57,广渠门外,14550,14550,29100,,,,,,,,
58,北京西站,97000,97000,194000,,,,,,,,
59,莲花桥,6150,6150,12300,,,,,,,,
60,南礼士路,25850,25850,51700,,,,,,,,
61,木樨地,20050,20050,40100,,,,,,,,
62,军事博物馆,22200,22200,44400,,,,,,,,
63,永安里,33250,33250,66500,,,,,,,,
64,甘家口,#N/A,#N/A,#N/A,,,,,,,,
65,东大桥,43600,43600,87200,,,,,,,,
66,白堆子,17400,17400,34800,,,,,,,,
67,朝阳门,72550,72550,145100,,,,,,,,
68,车公庄西,18400,18400,36800,,,,,,,,
69,车公庄,27350,27350,54700,,,,,,,,
70,白石桥南,27950,27950,55900,,,,,,,,
71,花园桥,21500,21500,43000,,,,,,,,
72,动物园,13250,13250,26500,,,,,,,,
73,西直门,96100,96100,192200,,,,,,,,
74,国家图书馆,22350,22350,44700,,,,,,,,
75,万寿寺,#N/A,#N/A,#N/A,,,,,,,,
76,积水潭,45550,45550,91100,,,,,,,,
77,安德里北街,#N/A,#N/A,#N/A,,,,,,,,
78,魏公村,29350,29350,58700,,,,,,,,
79,柳芳,15350,15350,30700,,,,,,,,
80,和平里北街,20700,20700,41400,,,,,,,,
81,大钟寺,18150,18150,36300,,,,,,,,
82,和平西桥,23900,23900,47800,,,,,,,,
83,光熙门,11250,11250,22500,,,,,,,,
84,东管头,#N/A,#N/A,#N/A,,,,,,,,
85,菜户营,#N/A,#N/A,#N/A,,,,,,,,
86,丽泽商务区,#N/A,#N/A,#N/A,,,,,,,,
87,西铁营,#N/A,#N/A,#N/A,,,,,,,,
88,景风门,#N/A,#N/A,#N/A,,,,,,,,
89,玉渊潭东门,#N/A,#N/A,#N/A,,,,,,,,
90,红莲南路,#N/A,#N/A,#N/A,,,,,,,,
91,二里沟,#N/A,#N/A,#N/A,,,,,,,,
92,科怡路,13600,13600,27200,,,,,,,,
93,肖村,5000,5000,10000,,,,,,,,
94,大红门南,1900,1900,3800,,,,,,,,
95,公益西桥,21000,21000,42000,,,,,,,,
96,丰台南路,13400,13400,26800,,,,,,,,
97,纪家庙,3950,3950,7900,,,,,,,,
98,首经贸,12400,12400,24800,,,,,,,,
99,角门东,15300,15300,30600,,,,,,,,
100,大红门,12700,12700,25400,,,,,,,,
101,成寿寺,11600,11600,23200,,,,,,,,
102,石榴庄,9600,9600,19200,,,,,,,,
103,草桥,21150,21150,42300,,,,,,,,
104,宋家庄,46450,46450,92900,,,,,,,,
105,角门西,22550,22550,45100,,,,,,,,
106,丰台站,6100,6100,12200,,,,,,,,
107,海户屯,5850,5850,11700,,,,,,,,
108,分钟寺,2550,2550,5100,,,,,,,,
109,马家堡,15700,15700,31400,,,,,,,,
110,丰台东大街,8850,8850,17700,,,,,,,,
111,泥洼,6650,6650,13300,,,,,,,,
112,西局,16550,16550,33100,,,,,,,,
113,十里河,38500,38500,77000,,,,,,,,
114,七里庄,17900,17900,35800,,,,,,,,
115,北工大西门,18500,18500,37000,,,,,,,,
116,六里桥,23150,23150,46300,,,,,,,,
117,劲松,41800,41800,83600,,,,,,,,
118,平乐园,13850,13850,27700,,,,,,,,
119,大郊亭,11500,11500,23000,,,,,,,,
120,双井,50750,50750,101500,,,,,,,,
121,九龙山,31450,31450,62900,,,,,,,,
122,万寿路,20100,20100,40200,,,,,,,,
123,公主坟,11500,11500,23000,,,,,,,,
124,五棵松,38500,38500,77000,,,,,,,,
125,大望路,76200,76200,152400,,,,,,,,
126,国贸,78450,78450,156900,,,,,,,,
127,金台夕照,41900,41900,83800,,,,,,,,
128,金台路,20950,20950,41900,,,,,,,,
129,呼家楼,42700,42700,85400,,,,,,,,
130,西钓鱼台,13150,13150,26300,,,,,,,,
131,海淀五路居,26900,26900,53800,,,,,,,,
132,慈寿寺,11050,11050,22100,,,,,,,,
133,朝阳公园,6250,6250,12500,,,,,,,,
134,团结湖,49400,49400,98800,,,,,,,,
135,农业展览馆,12600,12600,25200,,,,,,,,
136,枣营,13700,13700,27400,,,,,,,,
137,车道沟,11650,11650,23300,,,,,,,,
138,亮马桥,51550,51550,103100,,,,,,,,
139,东风北桥,10450,10450,20900,,,,,,,,
140,长春桥,12950,12950,25900,,,,,,,,
141,三元桥,48300,48300,96600,,,,,,,,
142,苏州桥,#N/A,#N/A,#N/A,,,,,,,,
143,火器营,4900,4900,9800,,,,,,,,
144,人民大学,30400,30400,60800,,,,,,,,
145,安华桥,16300,16300,32600,,,,,,,,
146,太阳宫,36650,36650,73300,,,,,,,,
147,巴沟,40100,40100,80200,,,,,,,,
148,苏州街,48600,48600,97200,,,,,,,,
149,海淀黄庄,60600,60600,121200,,,,,,,,
150,西土城,44750,44750,89500,,,,,,,,
151,牡丹园,33850,33850,67700,,,,,,,,
152,知春里,20750,20750,41500,,,,,,,,
153,知春路,41500,41500,83000,,,,,,,,
154,健德门,27200,27200,54400,,,,,,,,
155,北土城,17600,17600,35200,,,,,,,,
156,安贞门,31150,31150,62300,,,,,,,,
157,惠新西街南口,34700,34700,69400,,,,,,,,
158,芍药居,33550,33550,67100,,,,,,,,
159,中关村,39000,39000,78000,,,,,,,,
160,奥体中心,7300,7300,14600,,,,,,,,
161,惠新西街北口,32300,32300,64600,,,,,,,,
162,周家庄,#N/A,#N/A,#N/A,,,,,,,,
163,北太平庄,#N/A,#N/A,#N/A,,,,,,,,
164,五福堂,3550,3550,7100,,,,,,,,
165,西红门,32150,32150,64300,,,,,,,,
166,火箭万源,4150,4150,8300,,,,,,,,
167,东高地,2550,2550,5100,,,,,,,,
168,旧宫,16550,16550,33100,,,,,,,,
169,大葆台,6500,6500,13000,,,,,,,,
170,和义,5750,5750,11500,,,,,,,,
171,新宫,31150,31150,62300,,,,,,,,
172,郭公庄,10700,10700,21400,,,,,,,,
173,白盆窑,#N/A,#N/A,#N/A,,,,,,,,
174,丰台科技园,39650,39650,79300,,,,,,,,
175,花乡东桥,#N/A,#N/A,#N/A,,,,,,,,
176,小红门,12500,12500,25000,,,,,,,,
177,焦化厂,4600,4600,9200,,,,,,,,
178,大瓦窑,6450,6450,12900,,,,,,,,
179,双合,10550,10550,21100,,,,,,,,
180,垡头,#N/A,#N/A,#N/A,,,,,,,,
181,郭庄子,7700,7700,15400,,,,,,,,
182,大井,5950,5950,11900,,,,,,,,
183,欢乐谷景区,9450,9450,18900,,,,,,,,
184,南楼梓庄,8800,8800,17600,,,,,,,,
185,化工,3700,3700,7400,,,,,,,,
186,百子湾,22250,22250,44500,,,,,,,,
187,八角游乐园,20750,20750,41500,,,,,,,,
188,八宝山,25250,25250,50500,,,,,,,,
189,玉泉路,24800,24800,49600,,,,,,,,
190,四惠东,36050,36050,72100,,,,,,,,
191,四惠,34050,34050,68100,,,,,,,,
192,高碑店,12050,12050,24100,,,,,,,,
193,十里堡,29250,29250,58500,,,,,,,,
194,青年路,50350,50350,100700,,,,,,,,
195,田村,14300,14300,28600,,,,,,,,
196,廖公庄,5700,5700,11400,,,,,,,,
197,将台,11800,11800,23600,,,,,,,,
198,茶棚,200,200,400,,,,,,,,
199,万安,2050,2050,4100,,,,,,,,
200,望京南,27450,27450,54900,,,,,,,,
201,万泉河桥,#N/A,#N/A,#N/A,,,,,,,,
202,颐和园西门,900,900,1800,,,,,,,,
203,北京大学东门,16050,16050,32100,,,,,,,,
204,阜通,21800,21800,43600,,,,,,,,
205,五道口,45650,45650,91300,,,,,,,,
206,望京西,22950,22950,45900,,,,,,,,
207,西苑,13900,13900,27800,,,,,,,,
208,望京,27350,27350,54700,,,,,,,,
209,圆明园,9050,9050,18100,,,,,,,,
210,清华东路西口,11200,11200,22400,,,,,,,,
211,六道口,17950,17950,35900,,,,,,,,
212,关庄,6200,6200,12400,,,,,,,,
213,北沙滩,9850,9850,19700,,,,,,,,
214,奥林匹克公园,23000,23000,46000,,,,,,,,
215,北宫门,11900,11900,23800,,,,,,,,
216,安立路,13300,13300,26600,,,,,,,,
217,望京东,37550,37550,75100,,,,,,,,
218,大屯路东,23950,23950,47900,,,,,,,,
219,森林公园南门,3350,3350,6700,,,,,,,,
220,东湖渠,18150,18150,36300,,,,,,,,
221,林萃桥,9000,9000,18000,,,,,,,,
222,新发地,#N/A,#N/A,#N/A,,,,,,,,
223,十八里店,#N/A,#N/A,#N/A,,,,,,,,
224,学院桥,#N/A,#N/A,#N/A,,,,,,,,
225,富丰桥,#N/A,#N/A,#N/A,,,,,,,,
226,看丹,#N/A,#N/A,#N/A,,,,,,,,
227,榆树庄,#N/A,#N/A,#N/A,,,,,,,,
228,学知园,#N/A,#N/A,#N/A,,,,,,,,
229,义和庄,9350,9350,18700,,,,,,,,
230,黄村火车站,11500,11500,23000,,,,,,,,
231,良乡大学城西,10400,10400,20800,,,,,,,,
232,良乡大学城,9200,9200,18400,,,,,,,,
233,良乡南关,7700,7700,15400,,,,,,,,
234,苏庄,7000,7000,14000,,,,,,,,
235,阎村东,2000,2000,4000,,,,,,,,
236,良乡大学城北,5650,5650,11300,,,,,,,,
237,黄村西大街,18500,18500,37000,,,,,,,,
238,大兴新城,850,850,1700,,,,,,,,
239,清源路,16050,16050,32100,,,,,,,,
240,广阳城,7250,7250,14500,,,,,,,,
241,枣园,20400,20400,40800,,,,,,,,
242,篱笆房,10700,10700,21400,,,,,,,,
243,瀛海,6550,6550,13100,,,,,,,,
244,高米店南,14150,14150,28300,,,,,,,,
245,长阳,21900,21900,43800,,,,,,,,
246,同济南路,17150,17150,34300,,,,,,,,
247,高米店北,12350,12350,24700,,,,,,,,
248,德茂,3300,3300,6600,,,,,,,,
249,荣昌东街,13550,13550,27100,,,,,,,,
250,经海路,18250,18250,36500,,,,,,,,
251,荣京东街,15950,15950,31900,,,,,,,,
252,稻田,9400,9400,18800,,,,,,,,
253,次渠南,8850,8850,17700,,,,,,,,
254,亦庄桥,9250,9250,18500,,,,,,,,
255,万源街,8350,8350,16700,,,,,,,,
256,次渠,3750,3750,7500,,,,,,,,
257,亦庄文化园,5700,5700,11400,,,,,,,,
258,亦庄火车站,1400,1400,2800,,,,,,,,
259,黄厂,#N/A,#N/A,#N/A,,,,,,,,
260,花庄,0,0,0,,,,,,,,
261,郎辛庄,#N/A,#N/A,#N/A,,,,,,,,
262,张郭庄,9450,9450,18900,,,,,,,,
263,黑庄户,#N/A,#N/A,#N/A,,,,,,,,
264,园博园,3450,3450,6900,,,,,,,,
265,万盛西,#N/A,#N/A,#N/A,,,,,,,,
266,高楼金,#N/A,#N/A,#N/A,,,,,,,,
267,万盛东,#N/A,#N/A,#N/A,,,,,,,,
268,群芳,#N/A,#N/A,#N/A,,,,,,,,
269,土桥,18100,18100,36200,,,,,,,,
270,临河里,10050,10050,20100,,,,,,,,
271,梨园,19550,19550,39100,,,,,,,,
272,九棵树,13050,13050,26100,,,,,,,,
273,果园,12650,12650,25300,,,,,,,,
274,北运河西,22550,22550,45100,,,,,,,,
275,北运河东,#N/A,#N/A,#N/A,,,,,,,,
276,通州北苑,20950,20950,41900,,,,,,,,
277,八里桥,4900,4900,9800,,,,,,,,
278,古城,22000,22000,44000,,,,,,,,
279,管庄,12950,12950,25900,,,,,,,,
280,传媒大学,18000,18000,36000,,,,,,,,
281,双桥,20600,20600,41200,,,,,,,,
282,四道桥,1700,1700,3400,,,,,,,,
283,通州北关,24900,24900,49800,,,,,,,,
284,金安桥,17800,17800,35600,,,,,,,,
285,褡裢坡,21100,21100,42200,,,,,,,,
286,黄渠,20550,20550,41100,,,,,,,,
287,草房,31200,31200,62400,,,,,,,,
288,常营,39300,39300,78600,,,,,,,,
289,苹果园,18300,18300,36600,,,,,,,,
290,物资学院路,31550,31550,63100,,,,,,,,
291,杨庄,15600,15600,31200,,,,,,,,
292,西黄村,11200,11200,22400,,,,,,,,
293,植物园,550,550,1100,,,,,,,,
294,香山,6200,6200,12400,,,,,,,,
295,安河桥北,12050,12050,24100,,,,,,,,
296,来广营,26150,26150,52300,,,,,,,,
297,农大南路,7500,7500,15000,,,,,,,,
298,崔各庄,4250,4250,8500,,,,,,,,
299,善各庄,6350,6350,12700,,,,,,,,
300,北苑路北,31350,31350,62700,,,,,,,,
301,马连洼,8300,8300,16600,,,,,,,,
302,上地,33400,33400,66800,,,,,,,,
303,马泉营,12500,12500,25000,,,,,,,,
304,永泰庄,21250,21250,42500,,,,,,,,
305,清河站,#N/A,#N/A,#N/A,,,,,,,,
306,立水桥南,25050,25050,50100,,,,,,,,
307,北苑,19600,19600,39200,,,,,,,,
308,孙河,4100,4100,8200,,,,,,,,
309,西小口,16900,16900,33800,,,,,,,,
310,西北旺,7700,7700,15400,,,,,,,,
311,西二旗,85250,85250,170500,,,,,,,,
312,立水桥,37600,37600,75200,,,,,,,,
313,3号航站楼,#N/A,#N/A,#N/A,,,,,,,,
314,育新,22450,22450,44900,,,,,,,,
315,永丰南,8700,8700,17400,,,,,,,,
316,天通苑南,21200,21200,42400,,,,,,,,
317,屯佃,5850,5850,11700,,,,,,,,
318,温阳路,9050,9050,18100,,,,,,,,
319,稻香湖路,6400,6400,12800,,,,,,,,
320,国展,10200,10200,20400,,,,,,,,
321,霍营,40900,40900,81800,,,,,,,,
322,回龙观,35250,35250,70500,,,,,,,,
323,龙泽,34500,34500,69000,,,,,,,,
324,永丰,11700,11700,23400,,,,,,,,
325,天通苑,49750,49750,99500,,,,,,,,
326,2号航站楼,#N/A,#N/A,#N/A,,,,,,,,
327,天通苑北,52850,52850,105700,,,,,,,,
328,花梨坎,14150,14150,28300,,,,,,,,
329,育知路,7400,7400,14800,,,,,,,,
330,平西府,15600,15600,31200,,,,,,,,
331,生命科学园,20300,20300,40600,,,,,,,,
332,朱辛庄,24400,24400,48800,,,,,,,,
333,后沙峪,18600,18600,37200,,,,,,,,
334,南法信,10800,10800,21600,,,,,,,,
335,巩华城,1600,1600,3200,,,,,,,,
336,沙河,42700,42700,85400,,,,,,,,
337,沙河高教园,15900,15900,31800,,,,,,,,
338,北辛安,#N/A,#N/A,#N/A,,,,,,,,
339,新首钢,#N/A,#N/A,#N/A,,,,,,,,
340,北神树,#N/A,#N/A,#N/A,,,,,,,,
341,次渠北,#N/A,#N/A,#N/A,,,,,,,,
342,嘉会湖,#N/A,#N/A,#N/A,,,,,,,,
343,环球度假区,#N/A,#N/A,#N/A,,,,,,,,
344,清河小营桥,#N/A,#N/A,#N/A,,,,,,,,
345,定海园,#N/A,#N/A,#N/A,,,,,,,,
346,定海园西,#N/A,#N/A,#N/A,,,,,,,,
347,经海一路,#N/A,#N/A,#N/A,,,,,,,,
348,亦创会展中心,#N/A,#N/A,#N/A,,,,,,,,
349,亦庄同仁,#N/A,#N/A,#N/A,,,,,,,,
350,鹿圈东,#N/A,#N/A,#N/A,,,,,,,,
351,九号村,#N/A,#N/A,#N/A,,,,,,,,
352,四海庄,#N/A,#N/A,#N/A,,,,,,,,
353,太和桥北,#N/A,#N/A,#N/A,,,,,,,,
354,回龙观东大街,29150,29150,58300,,,,,,,,
355,泰河路,#N/A,#N/A,#N/A,,,,,,,,
356,天宫院,25500,25500,51000,,,,,,,,
357,生物医药基地,17900,17900,35800,,,,,,,,
358,饶乐府,1450,1450,2900,,,,,,,,
359,马各庄,1300,1300,2600,,,,,,,,
360,房山城关,2400,2400,4800,,,,,,,,
361,大石河东,650,650,1300,,,,,,,,
362,星城,2850,2850,5700,,,,,,,,
363,阎村,1700,1700,3400,,,,,,,,
364,燕山,2400,2400,4800,,,,,,,,
365,紫草坞,350,350,700,,,,,,,,
366,石厂,3800,3800,7600,,,,,,,,
367,小园,5800,5800,11600,,,,,,,,
368,栗园庄,2500,2500,5000,,,,,,,,
369,潞城,16600,16600,33200,,,,,,,,
370,东夏园,7500,7500,15000,,,,,,,,
371,郝家府,4000,4000,8000,,,,,,,,
372,上岸,5900,5900,11800,,,,,,,,
373,桥户营,3200,3200,6400,,,,,,,,
374,北安河,8350,8350,16700,,,,,,,,
375,顺义,23750,23750,47500,,,,,,,,
376,石门,17050,17050,34100,,,,,,,,
377,俸伯,19250,19250,38500,,,,,,,,
378,南邵,12900,12900,25800,,,,,,,,
379,昌平,21200,21200,42400,,,,,,,,
380,北邵洼,4500,4500,9000,,,,,,,,
381,昌平东关,9050,9050,18100,,,,,,,,
382,十三陵景区,2750,2750,5500,,,,,,,,
383,昌平西山口,3700,3700,7400,,,,,,,,
384,大兴机场,8850,8850,17700,,,,,,,,
385,瑞合庄,#N/A,#N/A,#N/A,,,,,,,,
386,融兴街,#N/A,#N/A,#N/A,,,,,,,,
387,屈庄,#N/A,#N/A,#N/A,,,,,,,,
388,模式口,#N/A,#N/A,#N/A,,,,,,,,
389,洪泰庄,#N/A,#N/A,#N/A,,,,,,,,
390,宛平城,#N/A,#N/A,#N/A,,,,,,,,
391,未来科学城北,#N/A,#N/A,#N/A,,,,,,,,
392,未来科学城,#N/A,#N/A,#N/A,,,,,,,,
393,天通苑东,#N/A,#N/A,#N/A,,,,,,,,
394,清河营,#N/A,#N/A,#N/A,,,,,,,,
395,红军营,#N/A,#N/A,#N/A,,,,,,,,
396,西坝河,#N/A,#N/A,#N/A,,,,,,,,
397,左家庄,#N/A,#N/A,#N/A,,,,,,,,
398,工人体育场,#N/A,#N/A,#N/A,,,,,,,,
