ID,stations,全日进站量,全日出站量,全日进出站量,800m开发强度,300m开发强度,800m人口密度,800m岗位密度,800m人岗密度,300m人口密度,300m岗位密度,300m人岗密度
1,陶然亭,25200,25200,50400,,,,,,,,
2,天桥,1900,1900,3800,,,,,,,,
3,天坛东门,13700,13700,27400,,,,,,,,
4,菜市口,17800,17800,35600,,,,,,,,
5,虎坊桥,10650,10650,21300,,,,,,,,
6,广安门内,29500,29500,59000,,,,,,,,
7,珠市口,15300,15300,30600,,,,,,,,
8,桥湾,8150,8150,16300,,,,,,,,
9,磁器口,20300,20300,40600,,,,,,,,
10,广渠门内,19350,19350,38700,,,,,,,,
11,长椿街,29500,29500,59000,,,,,,,,
12,宣武门,25400,25400,50800,,,,,,,,
13,和平门,11400,11400,22800,,,,,,,,
14,前门,18550,18550,37100,,,,,,,,
15,崇文门,49400,49400,98800,,,,,,,,
16,北京站,62000,62000,124000,,,,,,,,
17,西单,60950,60950,121900,,,,,,,,
18,复兴门,38900,38900,77800,,,,,,,,
19,天安门西,11550,11550,23100,,,,,,,,
20,天安门东,18150,18150,36300,,,,,,,,
21,王府井,31000,31000,62000,,,,,,,,
22,东单,38900,38900,77800,,,,,,,,
23,建国门,31900,31900,63800,,,,,,,,
24,灵境胡同,23350,23350,46700,,,,,,,,
25,灯市口,28400,28400,56800,,,,,,,,
26,阜成门,42700,42700,85400,,,,,,,,
27,西四,13550,13550,27100,,,,,,,,
28,东四,21950,21950,43900,,,,,,,,
29,中国美术馆,#N/A,#N/A,#N/A,,,,,,,,
30,平安里,21150,21150,42300,,,,,,,,
31,南锣鼓巷,19800,19800,39600,,,,,,,,
32,北海北,12250,12250,24500,,,,,,,,
33,张自忠路,10850,10850,21700,,,,,,,,
34,东四十条,35050,35050,70100,,,,,,,,
35,什刹海,6700,6700,13400,,,,,,,,
36,新街口,16000,16000,32000,,,,,,,,
37,北新桥,16450,16450,32900,,,,,,,,
38,东直门,71000,71000,142000,,,,,,,,
39,鼓楼大街,18850,18850,37700,,,,,,,,
40,安定门,16950,16950,33900,,,,,,,,
41,雍和宫,28400,28400,56800,,,,,,,,
42,牛街,#N/A,#N/A,#N/A,,,,,,,,
