stations,非机动车停车数量,共享单车,普通自行车,电动自行车,摩托车
良乡南关,860,89,204,567,0
亮马桥,780,468,44,236,32
廖公庄,388,85,75,228,0
林萃桥,261,55,94,112,0
临河里,1677,940,145,535,57
灵境胡同,351,35,158,158,0
刘家窑,480,220,110,150,0
柳芳,507,334,56,115,2
六道口,254,116,68,70,0
六里桥,297,68,51,178,0
六里桥东,935,215,65,655,0
龙泽,4800,705,2235,1860,0
鹿圈东,0,0,0,0,0
潞城,3435,80,390,1690,1275
马各庄,660,50,200,365,45
马家堡,400,230,170,0,0
马连洼,411,0,110,300,1
马泉营,1149,9,1033,95,12
模式口,175,0,60,115,0
牡丹园,1220,710,235,275,0
木樨地,1006,72,367,567,0
木樨园,2570,1840,235,495,0
南法信,5900,590,1010,4300,0
南礼士路,891,238,324,329,0
南楼梓庄,506,341,56,109,0
南锣鼓巷,305,90,90,125,0
南邵,1653,138,524,946,45
泥洼,452,93,63,296,0
牛街,380,160,220,0,0
农大南路,750,48,230,470,2
农业展览馆,508,361,96,49,2
潘家园,285,187,6,91,1
平安里,813,480,325,8,0
平乐园,1275,653,186,418,18
平西府,1628,378,275,941,34
苹果园,22,13,2,7,0
蒲黄榆,2990,2330,202,458,0
七里庄,465,70,130,265,0
前门,40,40,0,0,0
桥户营,579,43,109,427,0
桥湾,238,48,100,90,0
青年路,1243,262,45,914,22
清河小营桥,1837,663,409,756,9
清河营,615,322,73,220,0
清河站,2416,957,853,550,56
清华东路西口,1356,1159,155,42,0
清源路,1648,34,753,861,0
屈庄,0,0,0,0,0
群芳,276,157,31,75,13
饶乐府,355,35,115,125,80
人民大学,579,238,97,244,0
荣昌东街,313,18,50,245,0
荣京东街,280,41,65,174,0
融兴街,0,0,0,0,0
瑞合庄,0,0,0,0,0
三元桥,1257,330,346,581,0
森林公园南门,481,179,100,198,4
沙河,10736,560,2650,7131,395
沙河高教园,3619,501,692,2021,405
善各庄,195,15,45,120,15
上岸,914,86,201,627,0
上地,1023,205,319,491,8
芍药居,1023,327,117,571,8
什刹海,366,148,68,150,0
生命科学园,2505,370,498,1555,82
生物医药基地,650,0,120,530,0
十八里店,280,65,25,180,10
十里堡,965,557,17,391,0
十里河,765,145,135,460,25
十三陵景区,682,5,200,457,20
石厂,238,0,33,205,0
石榴庄,1296,902,109,278,7
石门,1983,282,497,1204,0
首经贸,1531,251,615,665,0
双合,698,320,145,188,45
双井,805,399,106,299,1
双桥,1755,414,552,789,0
顺义,4755,840,1474,2441,0
四道桥,278,0,35,243,0
四海庄,0,0,0,0,0
四惠,908,607,99,175,27
四惠东,545,152,118,275,0
宋家庄,2545,1555,315,675,0
苏州街,920,730,90,100,0
苏州桥,430,170,120,140,0
苏庄,987,267,215,505,0
孙河,335,20,60,250,5
太和桥北,0,0,0,0,0
太平桥,120,70,50,0,0
太阳宫,1654,533,595,515,11
泰河路,0,0,0,0,0
陶然亭,1110,130,280,700,0
天安门东,0,0,0,0,0
天安门西,0,0,0,0,0
天宫院,1989,0,366,1623,0
天桥,425,137,120,168,0
天坛东门,400,89,110,201,0
天通苑,3098,716,645,1685,52
天通苑北,11458,1808,1279,4832,3539
天通苑东,3082,245,382,1519,936
天通苑南,2714,1360,290,1040,24
田村,1768,668,337,763,0
通州北关,6330,1678,701,3580,371
通州北苑,2571,554,354,1573,90
同济南路,3720,561,962,2197,0
土桥,1830,415,265,1075,75
团结湖,498,313,85,100,0
屯佃,1201,4,265,932,0
湾子,1550,0,130,1420,0
宛平城,585,36,146,403,0
万安,100,30,25,45,0
万泉河桥,534,365,44,125,0
万盛东,1463,675,166,565,57
万盛西,1082,212,180,621,69
万寿路,1115,522,360,233,0
万寿寺,354,145,85,124,0
万源街,297,43,51,203,0
王府井,1353,53,170,1130,0
望京,648,331,101,189,27
望京东,517,365,48,99,5
望京南,1233,717,174,317,25
望京西,155,30,20,70,35
未来科学城,1314,43,200,537,534
未来科学城北,870,8,62,449,351
魏公村,1333,675,275,382,1
温阳路,1502,3,404,1095,0
五道口,1990,180,520,1290,0
五福堂,1161,233,289,639,0
五棵松,1801,554,452,789,6
物资学院路,2011,165,182,1530,134
西坝河,69,41,8,19,1
西北旺,1356,70,381,905,0
西单,535,34,163,338,0
西钓鱼台,695,259,141,291,4
西二旗,7153,3469,2046,1598,40
西红门,2707,15,628,2064,0
西黄村,887,42,161,684,0
西局,745,255,130,360,0
西四,503,126,190,187,0
西铁营,167,52,54,61,0
西土城,3034,1538,285,1203,8
西小口,618,149,147,322,0
西苑,1430,426,630,371,3
西直门,3225,556,623,2046,0
香山,97,61,15,21,0
小红门,965,328,120,481,36
小园,336,0,91,245,0
肖村,130,34,34,56,6
新发地,217,15,78,124,0
新宫,890,470,360,60,0
新街口,297,24,100,173,0
新首钢,1715,512,622,581,0
星城,355,0,110,225,20
宣武门,834,158,307,369,0
学院桥,515,155,130,230,0
学知园,440,64,160,216,0
阎村,615,0,280,295,40
阎村东,970,50,290,490,140
燕山,550,45,230,210,65
杨庄,1261,70,358,833,0
颐和园西门,48,30,4,12,2
义和庄,660,43,191,426,0
亦创会展中心,0,0,0,0,0
亦庄火车站,213,79,40,94,0
亦庄桥,1087,285,285,517,0
亦庄同仁,0,0,0,0,0
亦庄文化园,459,196,85,178,0
瀛海,5828,198,1224,4406,0
雍和宫,470,140,105,225,0
永安里,589,300,121,168,0
永定门外,606,225,118,263,0
永丰,909,195,158,520,36
永丰南,625,1,172,451,1
永泰庄,407,244,109,54,0
榆树庄,472,53,100,319,0
玉泉路,2173,359,802,1006,6
玉渊潭东门,132,8,48,76,0
育新,2495,260,790,1445,0
育知路,978,373,199,387,19
园博园,135,7,128,0,0
圆明园,886,410,303,171,2
枣营,373,275,52,28,18
枣园,3117,105,1340,1672,0
张郭庄,648,58,590,0,0
张自忠路,335,70,95,170,0
长春桥,881,500,116,265,0
长椿街,818,153,244,421,0
长阳,2500,150,700,1650,0
知春里,1170,920,120,130,0
知春路,556,270,163,123,0
植物园,98,8,35,55,0
中关村,1490,501,107,868,14
中国美术馆,545,343,81,121,0
周家庄,121,34,47,37,3
朱辛庄,2399,43,578,1692,86
珠市口,310,37,58,215,0
紫草坞,40,0,10,25,5
左家庄,117,60,12,42,3
