ID,stations,全日进站量,全日出站量,全日进出站量,800m开发强度,300m开发强度,800m人口密度,800m岗位密度,800m人岗密度,300m人口密度,300m岗位密度,300m人岗密度
1,陶然亭,18012,17792,35804,,,,,,,,
2,天桥,11842,13607,25449,,,,,,,,
3,天坛东门,15562,16037,31599,,,,,,,,
4,菜市口,14331,14937,29268,,,,,,,,
5,虎坊桥,9685,10014,19699,,,,,,,,
6,广安门内,22418,24565,46983,,,,,,,,
7,珠市口,13965,13481,27446,,,,,,,,
8,桥湾,7754,7961,15715,,,,,,,,
9,磁器口,16787,16501,33288,,,,,,,,
10,广渠门内,16796,16947,33743,,,,,,,,
11,长椿街,19454,19011,38465,,,,,,,,
12,宣武门,21143,21960,43103,,,,,,,,
13,和平门,10065,8983,19048,,,,,,,,
14,前门,24577,25647,50224,,,,,,,,
15,崇文门,38910,39578,78488,,,,,,,,
16,北京站,37431,35749,73180,,,,,,,,
17,西单,41129,42694,83823,,,,,,,,
18,复兴门,26004,28494,54498,,,,,,,,
19,天安门西,8822,11098,19920,,,,,,,,
20,天安门东,25167,34520,59687,,,,,,,,
21,王府井,32508,32132,64640,,,,,,,,
22,东单,29996,33473,63469,,,,,,,,
23,建国门,24107,25880,49987,,,,,,,,
24,灵境胡同,14761,15097,29858,,,,,,,,
25,灯市口,20659,22208,42867,,,,,,,,
26,阜成门,34526,36465,70991,,,,,,,,
27,西四,11645,11678,23323,,,,,,,,
28,东四,16628,16676,33304,,,,,,,,
29,中国美术馆,12372,8486,20858,,,,,,,,
30,平安里,21348,21323,42671,,,,,,,,
31,南锣鼓巷,20482,21590,42072,,,,,,,,
32,北海北,15734,15510,31244,,,,,,,,
33,张自忠路,9402,9441,18843,,,,,,,,
34,东四十条,24859,26310,51169,,,,,,,,
35,什刹海,17601,12418,30019,,,,,,,,
36,新街口,11122,11518,22640,,,,,,,,
37,北新桥,19593,18203,37796,,,,,,,,
38,东直门,43912,46913,90825,,,,,,,,
39,鼓楼大街,16578,16337,32915,,,,,,,,
40,安定门,12920,12165,25085,,,,,,,,
41,雍和宫,25263,27635,52898,,,,,,,,
42,牛街,16955,17654,34609,,,,,,,,
43,金鱼胡同,23738,22165,45903,,,,,,,,
44,太平桥,20380,23641,44021,,,,,,,,
45,东管头南,3011,2766,5777,,,,,,,,
46,木樨园,10432,9619,20051,,,,,,,,
47,刘家窑,17851,16120,33971,,,,,,,,
48,北京南站,79815,76863,156678,,,,,,,,
49,景泰,10848,9803,20651,,,,,,,,
50,蒲黄榆,23976,22767,46743,,,,,,,,
51,方庄,16614,16717,33331,,,,,,,,
52,永定门外,15980,16354,32334,,,,,,,,
53,潘家园,25102,23759,48861,,,,,,,,
54,六里桥东,20591,19613,40204,,,,,,,,
55,达官营,22587,22192,44779,,,,,,,,
56,湾子,12697,12271,24968,,,,,,,,
57,广渠门外,12961,12682,25643,,,,,,,,
58,北京西站,71087,61866,132953,,,,,,,,
59,莲花桥,6482,6637,13119,,,,,,,,
60,南礼士路,20070,21472,41542,,,,,,,,
61,木樨地,24100,24617,48717,,,,,,,,
62,军事博物馆,21732,23576,45308,,,,,,,,
63,永安里,25950,26695,52645,,,,,,,,
64,甘家口,6820,6903,13723,,,,,,,,
65,东大桥,27730,29083,56813,,,,,,,,
66,白堆子,12246,12994,25240,,,,,,,,
67,朝阳门,55489,57998,113487,,,,,,,,
68,车公庄西,13479,14240,27719,,,,,,,,
69,车公庄,24327,26005,50332,,,,,,,,
70,白石桥南,20581,21443,42024,,,,,,,,
71,花园桥,16909,16785,33694,,,,,,,,
72,动物园,11485,11465,22950,,,,,,,,
73,西直门,57362,57720,115082,,,,,,,,
74,国家图书馆,17816,17877,35693,,,,,,,,
75,万寿寺,8023,7862,15885,,,,,,,,
76,积水潭,33390,32276,65666,,,,,,,,
77,安德里北街,8091,8191,16282,,,,,,,,
78,魏公村,21964,24046,46010,,,,,,,,
79,柳芳,10338,10087,20425,,,,,,,,
80,和平里北街,17790,18166,35956,,,,,,,,
81,大钟寺,16082,18184,34266,,,,,,,,
82,和平西桥,16916,17027,33943,,,,,,,,
83,光熙门,10089,7444,17533,,,,,,,,
84,东管头,8589,8676,17265,,,,,,,,
85,菜户营,5051,4757,9808,,,,,,,,
86,丽泽商务区,20631,22190,42821,,,,,,,,
87,西铁营,12076,12268,24344,,,,,,,,
88,景风门,14898,13889,28787,,,,,,,,
89,玉渊潭东门,6419,7007,13426,,,,,,,,
90,红莲南路,10565,10177,20742,,,,,,,,
91,二里沟,9893,10507,20400,,,,,,,,
92,科怡路,9052,9143,18195,,,,,,,,
93,肖村,3621,3600,7221,,,,,,,,
94,大红门南,4879,4427,9306,,,,,,,,
95,公益西桥,15582,15482,31064,,,,,,,,
96,丰台南路,11461,11026,22487,,,,,,,,
97,纪家庙,8782,8710,17492,,,,,,,,
98,首经贸,18522,18439,36961,,,,,,,,
99,角门东,20951,20742,41693,,,,,,,,
100,大红门,10417,9846,20263,,,,,,,,
101,成寿寺,16974,16164,33138,,,,,,,,
102,石榴庄,15051,14616,29667,,,,,,,,
103,草桥,52271,50994,103265,,,,,,,,
104,宋家庄,47143,44960,92103,,,,,,,,
105,角门西,19987,18997,38984,,,,,,,,
106,丰台站,44692,32158,76850,,,,,,,,
107,海户屯,8306,7876,16182,,,,,,,,
108,分钟寺,6014,5767,11781,,,,,,,,
109,马家堡,12092,11913,24005,,,,,,,,
110,丰台东大街,8289,8170,16459,,,,,,,,
111,泥洼,8589,8296,16885,,,,,,,,
112,西局,13460,13151,26611,,,,,,,,
113,十里河,45366,43249,88615,,,,,,,,
114,七里庄,16925,16589,33514,,,,,,,,
115,北工大西门,16788,15181,31969,,,,,,,,
116,六里桥,23292,23231,46523,,,,,,,,
117,劲松,24249,23439,47688,,,,,,,,
